actor,movie_or_TV_name
Yoshitsugu Matsuoka,The Millionaire Detective: Balance - Unlimited
Yoshitsugu Matsuoka,Hatena Illusion
Yoshitsugu Matsuoka,Shirobako: The Movie
Yoshitsugu Matsuoka,Isekai Quartet
Yoshitsugu Matsuoka,Fire Force
Aya Endô,Ninjala Anime
Aya Endô,The Irregular at Magic High School: Reminiscence Arc
Aya Endô,Jujutsu Kaisen 0: The Movie
Aya Endô,Boruto: Naruto Next Generations
Aya Endô,Love Live! Superstar!!
Aya Endô,Fruits Basket
Aya Endô,Fate/Grand Order the Movie: Divine Realm of the Round Table: Camelot
Aya Endô,Jujutsu Kaisen
Aya Endô,Shuta Sueyoshi with Totoko Nya & Matsunoke 6-kyoudai: Max Charm Faces - Kanojo wa saikou!!!!!!!
Aya Endô,Osomatsu-san
Aya Endô,Sword Art Online
Aya Endô,Violet Evergarden: The Movie
Aya Endô,Fate/Grand Order - Absolute Demonic Front: Babylonia
Aya Endô,ID:Invaded
Aya Endô,Plunderer
Aya Endô,The Legend of the Galactic Heroes: Die Neue These Seiran 2
Aya Endô,Pokémon Masters
Aya Endô,Violet Evergarden: Eternity and the Auto Memories Doll
Aya Endô,Osomatsusan the Movie
Aya Endô,Conception: Please Give Birth to My Child!
Aya Endô,Gaikotsu Shotenin Honda-san
Aya Endô,Rascal Does Not Dream of Bunny Girl Senpai
Aya Endô,Goblin Slayer
Aya Endô,Mobile Suit Gundam: NT - Narrative
Aya Endô,Cells at Work!
Yoshitsugu Matsuoka,Hi Score Girl
Yoshitsugu Matsuoka,Tokunana
Yoshitsugu Matsuoka,Kengan Ashura
Yoshitsugu Matsuoka,Saekano: How to Raise a Boring Girlfriend Fine
Yoshitsugu Matsuoka,Lord El-Melloi II's Case Files: Rail Zeppelin Grace Note
Yoshitsugu Matsuoka,Mob Psycho 100 II: The First Spirits and Such Company Trip ~A Journey that Mends the Heart and Heals the Soul~
Yoshitsugu Matsuoka,Pokémon Masters
Yoshitsugu Matsuoka,The Rising of the Shield Hero
Yoshitsugu Matsuoka,Mob Psycho 100
Yoshitsugu Matsuoka,Trinity Seven The Movie 2: Heavens Library & Crimson Lord
Yoshitsugu Matsuoka,Atelier Lulua: The Scion of Arland
